cluster,rank,label,count,share,cluster_size
111,1,Notebooks,1925,1.0,1925
42,1,Keyboards,1530,0.7956318252730109,1923
42,2,Mobile Device Keyboards,194,0.10088403536141445,1923
42,3,Notebook Parts & Accessories,193,0.10036401456058243,1923
40,1,Data Storage Devices,1855,0.9681628392484343,1916
40,2,Data Storage Mediums,41,0.02139874739039666,1916
40,3,System Components,5,0.0026096033402922755,1916
97,1,All-in-One PCs/Workstations,1834,0.965771458662454,1899
97,2,POS Systems,60,0.0315955766192733,1899
97,3,Notebooks,2,0.00105318588730911,1899
124,1,Notebook Parts & Accessories,1855,1.0,1855
72,1,Screen Protectors,1846,0.9967602591792657,1852
72,2,Mobile Phone Cases,3,0.0016198704103671706,1852
72,3,Notebook Parts & Accessories,2,0.0010799136069114472,1852
46,1,Mice,1619,0.8910291689598239,1817
46,2,Keyboards,78,0.04292790313703908,1817
46,3,Flat Panel Desk Mounts,37,0.020363236103467255,1817
84,1,Data Storage Devices,1769,0.9746556473829201,1815
84,2,Chassis Components,19,0.01046831955922865,1815
84,3,Warranty & Support Extensions,4,0.0022038567493112946,1815
53,1,Keyboards,1548,0.8547763666482606,1811
53,2,Mobile Device Keyboards,258,0.1424627277747101,1811
53,3,Cable Interface/Gender Adapters,2,0.0011043622308117063,1811
96,1,Warranty & Support Extensions,1778,0.9877777777777778,1800
96,2,Installation Services,14,0.0077777777777777776,1800
96,3,Printing Equipment,2,0.0011111111111111111,1800
79,1,Warranty & Support Extensions,1306,0.7267668336115748,1797
79,2,IT Support Services,469,0.2609905397885364,1797
79,3,Notebook Parts & Accessories,6,0.00333889816360601,1797
48,1,TVs,1628,0.9161508159819921,1777
48,2,Hospitality TVs,110,0.061902082160945414,1777
48,3,Computer Monitors,16,0.009003939223410242,1777
209,1,PCs/Workstations,1583,0.9076834862385321,1744
209,2,All-in-One PCs/Workstations,159,0.0911697247706422,1744
209,3,Embedded Computers,1,0.0005733944954128441,1744
127,1,Projection Screens,1699,0.9781232009211284,1737
127,2,Projector Accessories,18,0.010362694300518135,1737
127,3,Remote Controls,8,0.004605641911341394,1737
85,1,Warranty & Support Extensions,1563,0.9013840830449827,1734
85,2,Notebook Parts & Accessories,43,0.024798154555940023,1734
85,3,Chassis Components,20,0.011534025374855825,1734
44,1,Camera Accessories,1304,0.7572590011614402,1722
44,2,Projection Lenses,105,0.06097560975609756,1722
44,3,Battery Chargers,64,0.03716608594657375,1722
55,1,USB Cables,922,0.5484830458060678,1681
55,2,Interface Components,226,0.13444378346222485,1681
55,3,Lightning Cables,187,0.11124330755502677,1681
56,1,Audio Equipment Parts & Accessories,501,0.3010817307692308,1664
56,2,Mobile Headsets,190,0.1141826923076923,1664
56,3,Dictaphones,123,0.07391826923076923,1664
45,1,Portable Speakers,522,0.3175182481751825,1644
45,2,Loudspeakers,281,0.17092457420924576,1644
45,3,Soundbar Speakers,269,0.16362530413625304,1644
155,1,PCs/Workstations,1480,0.9113300492610837,1624
155,2,All-in-One PCs/Workstations,126,0.07758620689655173,1624
155,3,Thin Clients,10,0.006157635467980296,1624
67,1,Household Batteries,1207,0.7450617283950617,1620
67,2,Battery Chargers,215,0.13271604938271606,1620
67,3,Cameras & Camcorders,66,0.040740740740740744,1620
174,1,Notebook Parts & Accessories,1588,0.9826732673267327,1616
174,2,Tablet Spare Parts,28,0.017326732673267328,1616
108,1,Notebooks,1615,1.0,1615
106,1,Notebooks,1602,1.0,1602
60,1,Mobile Phone Cases,1338,0.8367729831144465,1599
60,2,Tablet Cases,187,0.11694809255784866,1599
60,3,Camera Accessories,55,0.03439649781113196,1599
198,1,Notebook Parts & Accessories,1598,1.0,1598
91,1,Projection Screens,1491,0.9336255479023169,1597
91,2,Projector Accessories,86,0.05385097056981841,1597
91,3,Finance Accounting Software,8,0.005009392611145898,1597
78,1,Printing Equipment,1577,0.993073047858942,1588
78,2,Scanning Equipment,5,0.0031486146095717885,1588
78,3,Print Servers,3,0.001889168765743073,1588
138,1,Notebooks,1560,0.9898477157360406,1576
138,2,Chassis Components,8,0.005076142131979695,1576
138,3,All-in-One PCs/Workstations,6,0.0038071065989847717,1576
146,1,Servers,1563,0.9930114358322745,1574
146,2,Server Barebones,4,0.0025412960609911056,1574
146,3,System Components,2,0.0012706480304955528,1574
228,1,All-in-One PCs/Workstations,1504,0.964720974983964,1559
228,2,Notebooks,53,0.03399615137908916,1559
228,3,Touch Screen Monitors,2,0.0012828736369467607,1559
71,1,Printing Supplies,1553,0.996790757381258,1558
71,2,Printing Media,2,0.0012836970474967907,1558
71,3,Lamination Films,2,0.0012836970474967907,1558
100,1,Notebooks,1499,0.9646074646074646,1554
100,2,All-in-One PCs/Workstations,51,0.032818532818532815,1554
100,3,Tablets,4,0.002574002574002574,1554
80,1,Notebook Parts & Accessories,1502,0.9677835051546392,1552
80,2,Camera Accessories,15,0.009664948453608248,1552
80,3,Battery Chargers,10,0.006443298969072165,1552
74,1,TVs,1465,0.9512987012987013,1540
74,2,Hospitality TVs,50,0.032467532467532464,1540
74,3,CRT TVs,11,0.007142857142857143,1540
93,1,PCs/Workstations,1513,0.9967061923583662,1518
93,2,Tablets,5,0.0032938076416337285,1518
144,1,Printing Supplies,1450,0.9615384615384616,1508
